date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:35	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://tianxinyu026.wixsite.com/robots.txt		(from )
10:44:36	460199/460199	---MCZ	200	added ('OK')	text/html	etag:W/%22b3638a3924fa42c34b40cb18d587e1ab%22	https://tianxinyu026.wixsite.com/perfect	D:/Web/sesic%20web/tianxinyu026.wixsite.com/perfect.html	(from )
10:44:37	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Web/sesic%20web/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://tianxinyu026.wixsite.com/perfect)
10:44:37	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Web/sesic%20web/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://tianxinyu026.wixsite.com/perfect)
10:44:38	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2002:44:39%20GMT	https://tianxinyu026.wixsite.com/c	D:/Web/sesic%20web/tianxinyu026.wixsite.com/c.4.delayed	(from https://tianxinyu026.wixsite.com/perfect)
10:44:38	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2002:44:39%20GMT	https://tianxinyu026.wixsite.com/t	D:/Web/sesic%20web/tianxinyu026.wixsite.com/t.5.delayed	(from https://tianxinyu026.wixsite.com/perfect)
10:44:39	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2002:44:40%20GMT	https://tianxinyu026.wixsite.com/	D:/Web/sesic%20web/tianxinyu026.wixsite.com/index.html	(from https://tianxinyu026.wixsite.com/perfect)
10:44:39	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2006%20Aug%202024%2002:44:38%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/Web/sesic%20web/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://tianxinyu026.wixsite.com/perfect)
10:44:40	346709/346709	---MCZ	200	added ('OK')	text/html	etag:W/%220f4a773e9c4d5c49e4041a2250ea4c74%22	https://tianxinyu026.wixsite.com/perfect/technology	D:/Web/sesic%20web/tianxinyu026.wixsite.com/perfect/technology.html	(from https://tianxinyu026.wixsite.com/perfect)
10:44:41	402686/402686	---MCZ	200	added ('OK')	text/html	etag:W/%22264ac7220bc4228e7611f3227f9fb51b%22	https://tianxinyu026.wixsite.com/perfect/about	D:/Web/sesic%20web/tianxinyu026.wixsite.com/perfect/about.html	(from https://tianxinyu026.wixsite.com/perfect)
10:44:41	2430/2430	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202024%2002:44:42%20GMT	https://static.wixstatic.com/media/b660a9_5daf07a0c5b549ac8d700b312c757018~mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_5daf07a0c5b549ac8d700b312c757018~mv2.jpg	D:/Web/sesic%20web/static.wixstatic.com/media/b660a9_5daf07a0c5b549ac8d700b312c757018_mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_5daf07a0c5b549ac8d700b312c757018_mv2.jpg	(from https://tianxinyu026.wixsite.com/perfect)
10:44:41	528/528	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2000:27:43%20GMT	https://static.wixstatic.com/media/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png/v1/fill/w_49,h_14,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png	D:/Web/sesic%20web/static.wixstatic.com/media/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8_mv2.png/v1/fill/w_49,h_14,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8_mv2.png	(from https://tianxinyu026.wixsite.com/perfect)
10:44:42	1832/1832	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202024%2002:44:43%20GMT	https://static.wixstatic.com/media/b660a9_06f72202f3524bec8e732548f301cfa1~mv2.jpg/v1/fill/w_123,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_06f72202f3524bec8e732548f301cfa1~mv2.jpg	D:/Web/sesic%20web/static.wixstatic.com/media/b660a9_06f72202f3524bec8e732548f301cfa1_mv2.jpg/v1/fill/w_123,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_06f72202f3524bec8e732548f301cfa1_mv2.jpg	(from https://tianxinyu026.wixsite.com/perfect)
10:44:43	1540/1540	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202024%2002:44:44%20GMT	https://static.wixstatic.com/media/b660a9_0154e529a74548eaaf96f03602ca6de6~mv2.jpg/v1/fill/w_123,h_70,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_0154e529a74548eaaf96f03602ca6de6~mv2.jpg	D:/Web/sesic%20web/static.wixstatic.com/media/b660a9_0154e529a74548eaaf96f03602ca6de6_mv2.jpg/v1/fill/w_123,h_70,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_0154e529a74548eaaf96f03602ca6de6_mv2.jpg	(from https://tianxinyu026.wixsite.com/perfect)
10:44:43	3084/3084	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202024%2002:44:44%20GMT	https://static.wixstatic.com/media/b660a9_49cde34906de41c5a46a4875ca7033f8~mv2.jpg/v1/fill/w_123,h_112,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_49cde34906de41c5a46a4875ca7033f8~mv2.jpg	D:/Web/sesic%20web/static.wixstatic.com/media/b660a9_49cde34906de41c5a46a4875ca7033f8_mv2.jpg/v1/fill/w_123,h_112,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_49cde34906de41c5a46a4875ca7033f8_mv2.jpg	(from https://tianxinyu026.wixsite.com/perfect)
10:44:43	3110/3110	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202024%2002:44:45%20GMT	https://static.wixstatic.com/media/b660a9_4c57d22f95754e48885b513d2cc02b22~mv2.jpg/v1/fill/w_147,h_91,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_4c57d22f95754e48885b513d2cc02b22~mv2.jpg	D:/Web/sesic%20web/static.wixstatic.com/media/b660a9_4c57d22f95754e48885b513d2cc02b22_mv2.jpg/v1/fill/w_147,h_91,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/b660a9_4c57d22f95754e48885b513d2cc02b22_mv2.jpg	(from https://tianxinyu026.wixsite.com/perfect)
